71	1656	2	102	0	1	42.12	37.39	34.65	44.09	.	.	2	1
72	1791	2	102	0	0	39.6	42.41	45.22	.	.	.	2	1
73	5650	2	102	0	1	49.88	53.85	52.53	43.11	49.46	49.35	1	5
74	2407	2	102	0	1	53.78	57.52	62.02	64.67	.	.	2	4
75	4924	2	102	0	0	34.02	60.19	52.74	46.23	.	.	1	2
76	2109	2	102	0	0	44.2	49.17	49.23	40.42	.	.	1	1
77	2396	2	102	0	0	45.83	52.43	56.61	58.97	.	.	1	1
78	1301	2	102	0	1	39.48	44.68	49.87	.	.	.	.	.
79	4853	2	102	0	1	28.69	35.54	43.76	51.98	48.32	52.16	1	.
80	2834	2	102	0	1	41.55	35.84	34.42	39.48	36.16	37.32	1	3
81	1774	2	102	0	0	32.1	44.71	46.11	47.5	.	.	2	3
82	3830	2	102	0	0	33.18	44.46	42.21	39.96	44.68	44.58	2	2
83	6426	2	102	0	0	41.72	39.26	48.4	49.99	51.75	.	1	.
84	5401	2	102	0	1	48.15	61.7	.	.	.	.	2	1
85	6085	2	102	0	0	38.03	30.31	32.93	35.54	.	.	2	3
86	2132	2	102	0	1	41.79	36.81	33.7	37.16	41.86	46.55	2	2
87	4309	2	102	0	1	37.21	51.07	.	.	.	.	1	2
88	2561	2	102	0	1	35.22	49.37	42.35	44.51	45.33	46.15	2	4
89	1259	2	102	0	0	32.19	31.06	38.96	41.95	.	.	2	4
90	3882	2	102	0	1	48.95	64.08	65.04	69.27	71.53	71.22	2	2
91	5023	2	102	0	0	32.32	33.18	40.4	43.21	.	.	2	2
92	6809	2	102	0	0	47.41	47.02	46.62	.	.	.	.	1
93	3782	2	102	0	0	42.58	53.17	56.28	58.25	.	.	2	2
94	3046	2	102	0	0	34.81	41.09	.	.	.	.	1	.
95	1521	2	102	0	0	34.86	34.56	41.62	43.78	.	.	1	4
96	3345	2	102	0	0	28.71	30.56	31.68	32.8	37.5	37.12	2	4
97	4501	2	102	0	1	36.37	49.76	44.38	50.55	56.71	52.13	2	.
98	1908	2	102	0	0	55.76	54.64	46.91	.	.	.	2	2
99	1024	2	102	0	0	42.36	38.33	48.63	58.93	.	.	3	2
100	2651	2	102	0	1	31.27	33.49	42.27	43.02	45.56	.	2	1
101	5819	2	102	0	0	34.73	31.52	39.78	48.67	45.14	39.26	1	2
102	6402	2	102	0	0	36.57	32.24	40.86	.	.	.	2	.
103	5031	2	102	0	0	51.22	56.52	61.37	68.74	70.9	77.15	3	.
104	1300	2	102	0	0	36.03	35.25	.	.	.	.	2	.
105	3409	2	102	0	0	37.52	42.79	48.1	50.54	.	.	2	1
106	5201	2	102	0	0	44.05	46.06	51.93	54.7	.	.	2	.
107	4626	2	102	0	0	49.8	59.98	65.41	70.28	69.15	71.22	1	1
108	5326	2	102	0	0	35.28	59.39	61.17	59.25	66.43	.	1	1
109	5866	2	102	0	0	.	.	.	.	.	.	.	.
110	1697	2	102	0	0	48.16	49.48	50.68	51.88	65	62.25	2	2
111	5941	2	102	0	0	48.51	48.7	52.47	.	.	.	1	1
112	2941	2	102	0	0	33.41	25.16	.	.	.	.	1	2
113	3043	2	102	0	1	45.63	42.18	.	.	.	.	2	.
114	5961	2	102	0	0	34.08	43.28	47.55	.	.	.	1	2
